surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,76,"      .in(basePath / ""markets"" / ""categories"" / path[SportId])","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,83,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""settle"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,89,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""resettle"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,95,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""freeze"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,100,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""unfreeze"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,105,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""cancel"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/TournamentBackofficeRoutes.scala,28,"      .in(basePath / ""tournaments"" / tournamentId / ""make-displayable"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/TournamentBackofficeRoutes.scala,33,"      .in(basePath / ""tournaments"" / tournamentId / ""make-not-displayable"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,42,"    .in(basePath / ""fixtures"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,51,"      .in(basePath / ""fixtures"" / path[FixtureId])","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,57,"      .in(basePath / ""sports"" / path[SportId] / ""fixtures"" / path[FixtureId])","path-related .in(...) route expression"
