surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PxpTapirEndpoints.scala,33,"      .in(xmlBody[CashDepositVerificationRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/config/infrastructure/http/ConfigBackOfficeRoutes.scala,31,"    adminEndpoint.post.in(basePath / ""upload-terms"").in(jsonBody[TermsRequest]).out(statusCode(StatusCode.Ok))","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,212,"      .in(""login"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,213,"      .in(optionalIpAddress)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,226,"      .in(""login-with-verification"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,227,"      .in(optionalIpAddress)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,235,"      .in(""logout"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,242,"      .in(""punters"" / ""cool-off"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,243,"      .in(jsonBody[BeginCoolOffRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,251,"      .in(""punters"" / ""self-exclude"")","extracted from .in(...) definition"
